ref_date,ref_hour,user_source,share_scene,share_count,share_user
2016/7/1,1200,0,2,1,1
2016/7/1,1400,0,2,1,1
2016/7/1,1500,0,2,1,1
2016/7/1,1800,0,1,1,1
2016/7/1,1800,0,2,4,4
2016/7/1,1900,0,1,31,13
2016/7/1,1900,0,2,14,12
2016/7/1,2000,0,1,7,7
2016/7/1,2000,0,2,8,7
2016/7/1,2100,0,1,9,6
2016/7/1,2100,0,2,5,5
2016/7/1,2200,0,1,1,1
2016/7/1,2200,0,2,4,4
2016/7/1,2300,0,1,5,4
2016/7/1,2300,0,2,6,6
2016/7/2,0,0,1,1,1
2016/7/2,0,0,2,2,2
2016/7/2,400,0,1,1,1
2016/7/2,400,0,2,1,1
2016/7/2,500,0,1,1,1
2016/7/2,500,0,2,1,1
2016/7/2,600,0,2,2,2
2016/7/2,700,0,2,1,1
2016/7/2,700,0,5,1,1
2016/7/2,800,0,1,26,5
2016/7/2,800,0,2,5,5
2016/7/2,900,0,1,8,6
2016/7/2,900,0,2,6,6
2016/7/2,1000,0,1,17,8
2016/7/2,1000,0,2,3,3
2016/7/2,1100,0,1,2,2
2016/7/2,1100,0,2,8,7
2016/7/2,1200,0,1,2,2
2016/7/2,1200,0,2,6,6
2016/7/2,1300,0,1,1,1
2016/7/2,1300,0,2,3,3
2016/7/2,1300,0,5,1,1
2016/7/2,1400,0,1,3,3
2016/7/2,1500,0,1,1,1
2016/7/2,1500,0,2,1,1
2016/7/2,1600,0,1,2,2
2016/7/2,1600,0,2,1,1
2016/7/2,1600,0,5,1,1
2016/7/2,2000,0,2,1,1
2016/7/2,2100,0,1,5,5
2016/7/2,2100,0,2,2,2
2016/7/2,2200,0,1,4,3
2016/7/2,2200,0,2,1,1
2016/7/3,0,0,1,1,1
2016/7/3,1100,0,1,7,6
2016/7/3,1100,0,2,10,8
2016/7/3,1100,0,5,1,1
2016/7/3,1200,0,1,14,10
2016/7/3,1200,0,2,8,7
2016/7/3,1300,0,1,2,2
2016/7/3,1300,0,2,2,2
2016/7/3,1400,0,1,8,3
2016/7/3,1400,0,2,1,1
2016/7/3,1500,0,2,1,1
2016/7/3,1600,0,1,1,1
2016/7/3,1600,0,2,1,1
2016/7/3,1800,0,1,1,1
2016/7/3,1900,0,2,1,1
2016/7/3,2000,0,1,2,2
2016/7/3,2000,0,2,4,2
2016/7/3,2100,0,1,16,3
2016/7/3,2200,0,1,2,1
2016/7/3,2200,0,2,3,2
2016/7/3,2300,0,1,4,4
2016/7/3,2300,0,2,3,3
2016/7/4,0,0,1,2,2
2016/7/4,300,0,2,1,1
2016/7/4,400,0,1,2,1
2016/7/4,500,0,1,1,1
2016/7/4,500,0,2,2,2
2016/7/4,600,0,1,2,2
2016/7/4,700,0,1,1,1
2016/7/4,700,0,2,1,1
2016/7/4,900,0,1,2,1
2016/7/4,900,0,5,1,1
2016/7/4,1000,0,1,2,2
2016/7/4,1000,0,2,1,1
2016/7/4,1000,0,5,1,1
2016/7/4,1100,0,1,1,1
2016/7/4,1100,0,2,1,1
2016/7/4,1200,0,1,3,3
2016/7/4,1200,0,2,1,1
2016/7/4,1300,0,1,4,2
2016/7/4,1300,0,2,1,1
2016/7/4,1500,0,5,1,1
2016/7/4,1600,0,1,2,1
2016/7/4,1600,0,2,1,1
2016/7/4,1800,0,1,1,1
2016/7/4,1800,0,2,2,2
2016/7/4,1900,0,1,6,5
2016/7/4,1900,0,2,2,2
2016/7/4,1900,0,5,1,1
2016/7/4,2000,0,1,1,1
2016/7/4,2000,0,2,1,1
2016/7/4,2100,0,1,7,4
2016/7/4,2100,0,2,3,3
2016/7/4,2200,0,1,1,1
2016/7/4,2200,0,2,2,2
2016/7/4,2300,0,2,2,2
2016/7/5,0,0,1,1,1
2016/7/5,100,0,1,1,1
2016/7/5,100,0,2,1,1
2016/7/5,200,0,1,1,1
2016/7/5,500,0,2,1,1
2016/7/5,700,0,1,1,1
2016/7/5,800,0,1,1,1
2016/7/5,800,0,2,1,1
2016/7/5,900,0,1,1,1
2016/7/5,900,0,2,1,1
2016/7/5,1100,0,2,1,1
2016/7/5,1500,0,1,1,1
2016/7/5,1500,0,5,1,1
2016/7/5,1600,0,2,1,1
2016/7/5,1700,0,1,3,3
2016/7/5,1700,0,2,4,4
2016/7/5,1800,0,1,2,2
2016/7/5,1800,0,2,6,6
2016/7/5,1900,0,1,10,6
2016/7/5,1900,0,2,7,7
2016/7/5,1900,0,5,2,1
2016/7/5,2000,0,2,2,1
2016/7/5,2100,0,1,2,2
2016/7/5,2200,0,1,2,2
2016/7/5,2200,0,2,5,5
2016/7/5,2300,0,1,4,3
2016/7/5,2300,0,2,3,3
2016/7/6,0,0,2,1,1
2016/7/6,100,0,2,1,1
2016/7/6,500,0,1,1,1
2016/7/6,500,0,2,1,1
2016/7/6,600,0,1,1,1
2016/7/6,600,0,2,2,2
2016/7/6,700,0,1,2,1
2016/7/6,700,0,2,1,1
2016/7/6,800,0,2,1,1
2016/7/6,1000,0,1,4,2
2016/7/6,1000,0,2,1,1
2016/7/6,1000,0,5,1,1
2016/7/6,1100,0,1,1,1
2016/7/6,1200,0,1,3,1
2016/7/6,1200,0,2,2,2
2016/7/6,1300,0,5,1,1
2016/7/6,1400,0,1,2,2
2016/7/6,1500,0,1,1,1
2016/7/6,1700,0,1,4,4
2016/7/6,1700,0,2,1,1
2016/7/6,1800,0,1,12,6
2016/7/6,1800,0,2,5,5
2016/7/6,1900,0,1,2,1
2016/7/6,1900,0,2,2,2
2016/7/6,2000,0,1,1,1
2016/7/6,2000,0,2,6,5
2016/7/6,2100,0,1,3,2
2016/7/6,2100,0,2,1,1
2016/7/6,2200,0,1,5,4
2016/7/6,2200,0,2,2,2
2016/7/7,100,0,2,1,1
2016/7/7,600,0,2,1,1
2016/7/7,700,0,1,1,1
2016/7/7,700,0,2,1,1
2016/7/7,800,0,1,3,2
2016/7/7,800,0,2,4,2
2016/7/7,1400,0,1,1,1
2016/7/7,1400,0,2,1,1
2016/7/7,1400,0,5,1,1
2016/7/7,1500,0,1,1,1
2016/7/7,1500,0,2,1,1
2016/7/7,1500,0,5,1,1
2016/7/7,1600,0,1,1,1
2016/7/7,1600,0,2,2,2
2016/7/7,1700,0,1,4,2
2016/7/7,1700,0,2,1,1
2016/7/7,1800,0,1,5,4
2016/7/7,1800,0,2,3,3
2016/7/7,1900,0,1,3,2
2016/7/7,1900,0,2,4,4
2016/7/7,2000,0,1,2,2
2016/7/7,2000,0,5,1,1
2016/7/7,2100,0,1,2,2
2016/7/7,2100,0,2,2,2
2016/7/7,2300,0,2,1,1
2016/7/7,2300,0,5,1,1
