"ref_date","user_source","cumulate_user"
"2018-11-22",0,15110
"2018-11-23",0,15114
"2018-11-24",0,15118
"2018-11-25",0,15118
"2018-11-26",0,15124
"2018-11-27",0,15134
"2018-11-28",0,15143
"2018-11-29",0,15149
"2018-11-30",0,15159
"2018-12-01",0,15173
"2018-12-02",0,15183
"2018-12-03",0,15180
"2018-12-04",0,15177
"2018-12-05",0,15181
"2018-12-06",0,15183
"2018-12-07",0,15191
"2018-12-08",0,15191
"2018-12-09",0,15192
"2018-12-10",0,15190
"2018-12-11",0,15193
"2018-12-12",0,15195
"2018-12-13",0,15192
"2018-12-14",0,15190
"2018-12-15",0,15193
"2018-12-16",0,15190
"2018-12-17",0,15187
"2018-12-18",0,15187
"2018-12-19",0,15189
"2018-12-20",0,15184
"2018-12-21",0,15183
"2018-12-22",0,15185
"2018-12-23",0,15186
"2018-12-24",0,15189
"2018-12-25",0,15200
"2018-12-26",0,15202
"2018-12-27",0,15210
"2018-12-28",0,15221
"2018-12-29",0,15226
"2018-12-30",0,15226
"2018-12-31",0,15226
"2019-01-01",0,15226
"2019-01-02",0,15235
"2019-01-03",0,15244
"2019-01-04",0,15241
"2019-01-05",0,15250
"2019-01-06",0,15250
"2019-01-07",0,15249
"2019-01-08",0,15251
"2019-01-09",0,15252
"2019-01-10",0,15253
"2019-01-11",0,15263
"2019-01-12",0,15263
"2019-01-13",0,15263
"2019-01-14",0,15266
"2019-01-15",0,15271
"2019-01-16",0,15275
"2019-01-17",0,15280
"2019-01-18",0,15279
"2019-01-19",0,15275
"2019-01-20",0,15277
"2019-01-21",0,15285
"2019-01-22",0,15290
"2019-01-23",0,15291
"2019-01-24",0,15293
"2019-01-25",0,15293
"2019-01-26",0,15290
"2019-01-27",0,15289
"2019-01-28",0,15289
"2019-01-29",0,15286
"2019-01-30",0,15286
"2019-01-31",0,15292
"2019-02-01",0,15300
"2019-02-02",0,15303
"2019-02-03",0,15306
"2019-02-04",0,15303
"2019-02-05",0,15302
"2019-02-06",0,15303
"2019-02-07",0,15303
"2019-02-08",0,15302
"2019-02-09",0,15300
"2019-02-10",0,15304
"2019-02-11",0,15307
"2019-02-12",0,15307
"2019-02-13",0,15314
"2019-02-14",0,15322
"2019-02-15",0,15321
"2019-02-16",0,15328
"2019-02-17",0,15334
"2019-02-18",0,15341
"2019-02-19",0,15348
"2019-02-20",0,15352
"2019-02-21",0,15353
"2019-02-22",0,15354
"2019-02-23",0,15356
"2019-02-24",0,15359
"2019-02-25",0,15361
"2019-02-26",0,15364
"2019-02-27",0,15373
"2019-02-28",0,15387
"2019-03-01",0,15395
"2019-03-02",0,15394
"2019-03-03",0,15397
"2019-03-04",0,15401
"2019-03-05",0,15413
"2019-03-06",0,15422
"2019-03-07",0,15432
"2019-03-08",0,15435
"2019-03-09",0,15439
"2019-03-10",0,15444
"2019-03-11",0,15449
"2019-03-12",0,15451
"2019-03-13",0,15454
"2019-03-14",0,15454
"2019-03-15",0,15455
"2019-03-16",0,15458
"2019-03-17",0,15461
"2019-03-18",0,15462
"2019-03-19",0,15461
"2019-03-20",0,15459
"2019-03-21",0,15464
"2019-03-22",0,15472
"2019-03-23",0,15473
"2019-03-24",0,15472
"2019-03-25",0,15474
"2019-03-26",0,15480
"2019-03-27",0,15482
"2019-03-28",0,15479
"2019-03-29",0,15479
"2019-03-30",0,15479
"2019-03-31",0,15483
"2019-04-01",0,15488
"2019-04-02",0,15487
"2019-04-03",0,15489
"2019-04-04",0,15488
"2019-04-05",0,15491
"2019-04-06",0,15492
"2019-04-07",0,15498
"2019-04-08",0,15503
"2019-04-09",0,15506
"2019-04-10",0,15507
"2019-04-11",0,15508
"2019-04-12",0,15508
"2019-04-13",0,15507
"2019-04-14",0,15511
"2019-04-15",0,15516
"2019-04-16",0,15521
"2019-04-17",0,15525
"2019-04-18",0,15535
"2019-04-19",0,15537
"2019-04-20",0,15536
"2019-04-21",0,15532
"2019-04-22",0,15531
"2019-04-23",0,15540
"2019-04-24",0,15548
"2019-04-25",0,15548
"2019-04-26",0,15548
